candidate_skills,years_experience,education_level,past_job_titles,certifications,expected_salary,candidate_location,job_title,required_skills,min_experience,job_description,budgeted_salary_min,budgeted_salary_max,job_location,is_fit
"Node.js, AWS, Python, SQL, NLP, Deep Learning",6,High School,"Backend Engineer, Software Developer",Google ML Certificate,129409,New York,AI Researcher,"Data Analysis, Deep Learning, React, Docker, Java",0,Looking for a motivated individual with strong technical and problem-solving skills.,81174,141383,Remote,0
"TensorFlow, React, Machine Learning",2,Master's,ML Engineer,Coursera NLP,113724,Austin,Backend Engineer,"Deep Learning, Pandas, Data Analysis, Java, NLP",1,Looking for a motivated individual with strong technical and problem-solving skills.,64098,115875,Remote,0
"Kubernetes, Python, Pandas, AWS",11,High School,"Backend Engineer, ML Engineer","AWS Certified, Coursera NLP",67692,New York,AI Researcher,"SQL, React, Java, Kubernetes, TensorFlow",6,Looking for a motivated individual with strong technical and problem-solving skills.,76658,105418,San Francisco,0
"TensorFlow, Pandas, Java",7,Master's,Backend Engineer,"AWS Certified, DataCamp DS",52242,Seattle,Backend Engineer,"Deep Learning, Machine Learning, Docker",0,Looking for a motivated individual with strong technical and problem-solving skills.,68814,132259,Austin,0
"Python, React, Docker, SQL, Data Analysis, Deep Learning",12,Bachelor's,Software Developer,"Coursera NLP, None",120550,Remote,ML Engineer,"Pandas, Kubernetes, Data Analysis, React, NLP",9,Looking for a motivated individual with strong technical and problem-solving skills.,65110,141471,Remote,1
"Docker, Java, Deep Learning",7,Bachelor's,"Data Scientist, ML Engineer","AWS Certified, Coursera NLP",79623,New York,Software Developer,"Python, Java, Machine Learning, React",0,Looking for a motivated individual with strong technical and problem-solving skills.,83242,132871,Seattle,0
"Deep Learning, React, Docker, Python",11,Master's,"Software Developer, Data Scientist","AWS Certified, None",107486,New York,ML Engineer,"Kubernetes, TensorFlow, Java",3,Looking for a motivated individual with strong technical and problem-solving skills.,77791,151340,San Francisco,0
"AWS, Pandas, Java, Node.js, Machine Learning, Data Analysis",3,PhD,AI Researcher,Coursera NLP,100680,Remote,Data Scientist,"Kubernetes, Node.js, React, Java",2,Looking for a motivated individual with strong technical and problem-solving skills.,96384,118731,Seattle,0
"NLP, Python, Pandas, Node.js, SQL",9,PhD,Backend Engineer,AWS Certified,87401,New York,AI Researcher,"SQL, Java, AWS, Docker",2,Looking for a motivated individual with strong technical and problem-solving skills.,70378,149814,Remote,0
"Data Analysis, Deep Learning, Docker, SQL, TensorFlow",0,Master's,Data Scientist,"Coursera NLP, DataCamp DS",120316,New York,AI Researcher,"Machine Learning, Pandas, Kubernetes, Java",4,Looking for a motivated individual with strong technical and problem-solving skills.,64641,136781,Austin,0
"Data Analysis, React, Deep Learning",5,Bachelor's,Backend Engineer,"None, DataCamp DS",104256,Seattle,AI Researcher,"TensorFlow, SQL, Java, Docker",9,Looking for a motivated individual with strong technical and problem-solving skills.,74401,151795,San Francisco,0
"Kubernetes, Pandas, Docker, Machine Learning, Deep Learning",3,PhD,"AI Researcher, Backend Engineer","None, AWS Certified",148890,Austin,Software Developer,"Node.js, React, Java, Machine Learning, Deep Learning",2,Looking for a motivated individual with strong technical and problem-solving skills.,71882,113710,Austin,0
"Docker, Deep Learning, TensorFlow, React",9,Bachelor's,"AI Researcher, Software Developer",Google ML Certificate,134472,Remote,AI Researcher,"Java, AWS, Data Analysis",9,Looking for a motivated individual with strong technical and problem-solving skills.,65907,142498,New York,0
"NLP, Kubernetes, Machine Learning, Java, React",11,PhD,Software Developer,"DataCamp DS, AWS Certified",65254,San Francisco,Data Scientist,"SQL, Deep Learning, AWS, Node.js, Machine Learning",0,Looking for a motivated individual with strong technical and problem-solving skills.,92566,100763,Remote,0
"Docker, Java, React, SQL",4,Master's,"AI Researcher, Data Scientist",DataCamp DS,79495,Austin,Backend Engineer,"Kubernetes, AWS, Pandas, Data Analysis, Deep Learning",9,Looking for a motivated individual with strong technical and problem-solving skills.,60806,125847,Austin,0
"Pandas, TensorFlow, React, AWS",5,Bachelor's,"Backend Engineer, Data Scientist","None, AWS Certified",147551,Austin,Data Scientist,"TensorFlow, Python, React",0,Looking for a motivated individual with strong technical and problem-solving skills.,92322,109984,San Francisco,0
"Deep Learning, AWS, Machine Learning, Java, Docker, Python",12,Master's,"Data Scientist, AI Researcher","None, DataCamp DS",101632,Remote,Software Developer,"Machine Learning, Pandas, NLP, React, Python",10,Looking for a motivated individual with strong technical and problem-solving skills.,82124,159398,Austin,0
"Pandas, SQL, Node.js, Machine Learning, Kubernetes, Data Analysis",1,PhD,Backend Engineer,"None, Coursera NLP",140298,Remote,Backend Engineer,"Pandas, Deep Learning, Machine Learning, Node.js",8,Looking for a motivated individual with strong technical and problem-solving skills.,83020,149615,New York,0
"Docker, Deep Learning, Node.js, Kubernetes",8,High School,Backend Engineer,"AWS Certified, Google ML Certificate",97143,Austin,AI Researcher,"Machine Learning, React, Pandas, AWS, Java",9,Looking for a motivated individual with strong technical and problem-solving skills.,93089,102915,San Francisco,0
"SQL, Machine Learning, AWS, Java, Data Analysis",11,Master's,Data Scientist,"Google ML Certificate, DataCamp DS",114736,Seattle,ML Engineer,"AWS, Data Analysis, Kubernetes, Node.js",2,Looking for a motivated individual with strong technical and problem-solving skills.,65966,134164,New York,0
"Machine Learning, Pandas, Deep Learning",10,High School,"Backend Engineer, Software Developer",AWS Certified,136800,Austin,Backend Engineer,"Docker, Kubernetes, TensorFlow, Java, Deep Learning",3,Looking for a motivated individual with strong technical and problem-solving skills.,81046,127798,New York,0
"TensorFlow, Pandas, Python, Docker",0,Master's,Data Scientist,"Coursera NLP, DataCamp DS",131246,Seattle,ML Engineer,"React, Python, Deep Learning",7,Looking for a motivated individual with strong technical and problem-solving skills.,88525,147375,Austin,0
"Data Analysis, Deep Learning, Pandas",1,PhD,"Software Developer, Data Scientist",Google ML Certificate,94616,Austin,Software Developer,"Pandas, Machine Learning, Deep Learning",2,Looking for a motivated individual with strong technical and problem-solving skills.,85237,134435,Seattle,0
"Node.js, Pandas, React",9,PhD,Backend Engineer,"None, Coursera NLP",55086,Seattle,Data Scientist,"TensorFlow, Data Analysis, Python, Node.js",8,Looking for a motivated individual with strong technical and problem-solving skills.,76438,100167,San Francisco,0
"Node.js, Docker, Deep Learning, TensorFlow, Pandas",10,Bachelor's,"Data Scientist, Software Developer","DataCamp DS, None",129214,Seattle,Software Developer,"Deep Learning, Docker, Kubernetes",10,Looking for a motivated individual with strong technical and problem-solving skills.,67539,152232,Seattle,1
"Docker, React, Machine Learning, Deep Learning, Data Analysis, Kubernetes",8,PhD,"Backend Engineer, Software Developer","Google ML Certificate, Coursera NLP",121710,Austin,AI Researcher,"Deep Learning, Python, AWS",5,Looking for a motivated individual with strong technical and problem-solving skills.,84023,130151,Remote,0
"SQL, Docker, TensorFlow, Kubernetes",7,PhD,Software Developer,"None, AWS Certified",92567,San Francisco,AI Researcher,"Docker, Machine Learning, Pandas, Python",1,Looking for a motivated individual with strong technical and problem-solving skills.,75111,114348,New York,0
"Data Analysis, SQL, Node.js, AWS",6,Bachelor's,AI Researcher,"Coursera NLP, None",73506,San Francisco,Software Developer,"Java, SQL, Node.js, Pandas, Docker",10,Looking for a motivated individual with strong technical and problem-solving skills.,62772,150833,Remote,0
"Java, TensorFlow, Python, React",3,PhD,Data Scientist,AWS Certified,65473,Seattle,AI Researcher,"Node.js, AWS, NLP",4,Looking for a motivated individual with strong technical and problem-solving skills.,79446,124707,New York,0
"SQL, React, Deep Learning, Python, Node.js, AWS",5,PhD,ML Engineer,"Google ML Certificate, Coursera NLP",55876,San Francisco,Software Developer,"Pandas, Docker, Kubernetes, React",10,Looking for a motivated individual with strong technical and problem-solving skills.,76634,128298,Remote,0
"Machine Learning, Docker, Python, Node.js",0,PhD,Backend Engineer,"AWS Certified, DataCamp DS",129347,Remote,Software Developer,"Pandas, Machine Learning, Node.js",1,Looking for a motivated individual with strong technical and problem-solving skills.,64875,129170,Remote,0
"Docker, Deep Learning, Java, Data Analysis, TensorFlow, SQL",12,Bachelor's,Backend Engineer,"DataCamp DS, Coursera NLP",83920,Seattle,Software Developer,"Kubernetes, Java, AWS, Python, Machine Learning",2,Looking for a motivated individual with strong technical and problem-solving skills.,71174,133677,Remote,0
"AWS, TensorFlow, React, NLP, Data Analysis",2,PhD,ML Engineer,"None, Google ML Certificate",148478,San Francisco,Software Developer,"Python, Java, Deep Learning",10,Looking for a motivated individual with strong technical and problem-solving skills.,69205,125208,New York,0
"Data Analysis, TensorFlow, React",6,PhD,Data Scientist,DataCamp DS,126415,San Francisco,Software Developer,"SQL, Data Analysis, Pandas, Java",8,Looking for a motivated individual with strong technical and problem-solving skills.,88486,107931,New York,0
"Deep Learning, Pandas, Machine Learning",6,PhD,"Backend Engineer, Software Developer","Google ML Certificate, Coursera NLP",51231,Austin,ML Engineer,"TensorFlow, SQL, Docker, Kubernetes, Data Analysis",8,Looking for a motivated individual with strong technical and problem-solving skills.,99865,109380,San Francisco,0
"Python, NLP, Machine Learning, Kubernetes, Docker",2,Bachelor's,"ML Engineer, Backend Engineer","None, DataCamp DS",124136,Austin,Data Scientist,"Machine Learning, AWS, Python, Kubernetes, Java",2,Looking for a motivated individual with strong technical and problem-solving skills.,99096,145746,Remote,1
"SQL, Java, Python, Docker",8,High School,Backend Engineer,DataCamp DS,99227,Austin,Software Developer,"Deep Learning, Node.js, React",7,Looking for a motivated individual with strong technical and problem-solving skills.,69543,122395,New York,0
"NLP, Java, Node.js, React, Pandas, Deep Learning",12,PhD,Data Scientist,DataCamp DS,80590,Seattle,Data Scientist,"Java, React, TensorFlow, Docker",0,Looking for a motivated individual with strong technical and problem-solving skills.,84761,111218,Seattle,0
"Python, TensorFlow, Java",12,High School,"AI Researcher, ML Engineer","AWS Certified, DataCamp DS",141061,Remote,ML Engineer,"React, Python, AWS, Java",7,Looking for a motivated individual with strong technical and problem-solving skills.,94282,145392,Remote,1
"React, Deep Learning, TensorFlow, NLP, Machine Learning",2,High School,"Backend Engineer, Data Scientist",Coursera NLP,119335,San Francisco,ML Engineer,"NLP, Pandas, TensorFlow",6,Looking for a motivated individual with strong technical and problem-solving skills.,73205,146467,San Francisco,0
"AWS, Kubernetes, TensorFlow, SQL",4,Master's,ML Engineer,None,68361,San Francisco,Data Scientist,"Data Analysis, AWS, Python, React",9,Looking for a motivated individual with strong technical and problem-solving skills.,74473,121152,Seattle,0
"SQL, Docker, NLP, TensorFlow, AWS, Pandas",8,High School,"Data Scientist, ML Engineer",Google ML Certificate,148013,Austin,Software Developer,"Kubernetes, Pandas, NLP",5,Looking for a motivated individual with strong technical and problem-solving skills.,63319,143551,San Francisco,0
"SQL, Data Analysis, TensorFlow, Pandas, AWS",11,Bachelor's,ML Engineer,"DataCamp DS, Coursera NLP",142687,Seattle,Backend Engineer,"Machine Learning, TensorFlow, AWS",0,Looking for a motivated individual with strong technical and problem-solving skills.,85624,108873,Remote,0
"Python, Machine Learning, NLP, SQL, TensorFlow, Pandas",7,PhD,ML Engineer,"Coursera NLP, None",135377,New York,Software Developer,"Python, SQL, TensorFlow, Data Analysis, Kubernetes",4,Looking for a motivated individual with strong technical and problem-solving skills.,99443,152998,Austin,0
"Pandas, Machine Learning, NLP",0,Master's,AI Researcher,Google ML Certificate,131293,Seattle,Data Scientist,"Java, SQL, Node.js, AWS",6,Looking for a motivated individual with strong technical and problem-solving skills.,60420,131007,Seattle,0
"Java, Docker, AWS, NLP, React, Data Analysis",2,High School,AI Researcher,"AWS Certified, Google ML Certificate",51358,San Francisco,Data Scientist,"Pandas, Deep Learning, Machine Learning, NLP",1,Looking for a motivated individual with strong technical and problem-solving skills.,94057,110461,Remote,0
"Machine Learning, TensorFlow, Pandas, Node.js, Python",10,High School,Backend Engineer,"Coursera NLP, None",85908,New York,Backend Engineer,"SQL, Pandas, NLP, Python",1,Looking for a motivated individual with strong technical and problem-solving skills.,74684,135788,Remote,1
"Kubernetes, TensorFlow, Python, NLP, AWS, Docker",0,PhD,Data Scientist,"Google ML Certificate, None",60580,New York,Backend Engineer,"SQL, Java, Python, Docker",2,Looking for a motivated individual with strong technical and problem-solving skills.,87731,138267,Seattle,0
"Python, Deep Learning, AWS, NLP",10,Master's,Backend Engineer,None,122251,Remote,Software Developer,"Pandas, NLP, Docker, Node.js, AWS",10,Looking for a motivated individual with strong technical and problem-solving skills.,96295,129301,Remote,1
"Node.js, SQL, React, Java",3,Master's,"ML Engineer, Data Scientist",AWS Certified,96205,Seattle,Data Scientist,"Node.js, Docker, Data Analysis, Pandas, Python",4,Looking for a motivated individual with strong technical and problem-solving skills.,93915,121063,Seattle,0
